epoch,batch,train_loss,train_accuracy
0,0,3.4493368,0.09375
1,1,3.6666675,0.03125
1,2,3.6984034,0.0625
1,3,3.6385055,0.03125
1,4,3.756061,0.03125
1,5,3.5791216,0.0625
1,6,3.4753258,0.03125
1,7,3.3897789,0.125
1,8,3.4089549,0.0625
1,9,3.3002396,0.0625
1,10,3.3939753,0.125
1,11,3.2487042,0.09375
1,12,3.1936283,0.0625
1,13,3.2327662,0.0625
1,14,2.9444299,0.1875
1,15,3.1347284,0.09375
1,16,3.1205897,0.09375
1,17,3.1825242,0.09375
1,18,3.1978805,0.125
1,19,3.0621114,0.1875
1,20,3.2280872,0.09375
1,21,2.8453732,0.1875
1,22,2.8514235,0.15625
1,23,2.9730036,0.1875
1,24,2.8510487,0.1875
1,25,2.7786825,0.25
1,26,2.743465,0.28125
1,27,2.7227194,0.34375
1,28,2.6506364,0.34375
1,29,2.7107518,0.375
1,30,2.5726743,0.40625
1,31,2.594206,0.3125
1,32,2.6115568,0.375
1,33,2.7605863,0.28125
1,34,2.7907486,0.28125
1,35,2.5072236,0.34375
1,36,2.69276,0.34375
1,37,2.6194472,0.28125
1,38,2.5915716,0.28125
1,39,2.478069,0.34375
1,40,2.366773,0.3125
1,41,2.3689954,0.375
1,42,2.4804423,0.34375
1,43,2.5020988,0.34375
1,44,1.9891182,0.65625
1,45,2.19357,0.5625
1,46,2.2534957,0.5
1,47,2.4329824,0.4375
1,48,2.4291177,0.40625
1,49,2.2646322,0.375
1,50,2.2237775,0.4375
1,51,2.2999787,0.375
1,52,2.2859993,0.53125
1,53,2.446583,0.34375
1,54,2.0922716,0.5625
1,55,2.4875324,0.28125
1,56,2.3785844,0.375
1,57,1.9833766,0.5625
1,58,2.049003,0.59375
1,59,2.1118615,0.5
1,60,2.2538354,0.4375
1,61,2.197853,0.5625
1,62,2.0088115,0.5
1,63,2.2188902,0.5625
1,64,2.0334258,0.46875
1,65,2.091568,0.53125
1,66,1.8845612,0.625
1,67,2.1225462,0.5625
1,68,1.8726243,0.65625
1,69,1.6741965,0.6875
1,70,1.9119309,0.59375
1,71,1.9033622,0.53125
1,72,1.745538,0.71875
1,73,2.0396256,0.53125
1,74,1.7461431,0.625
1,75,2.0007205,0.59375
1,76,1.9209168,0.53125
1,77,1.8281233,0.625
1,78,2.0307372,0.46875
1,79,2.1463938,0.34375
1,80,1.680852,0.6875
1,81,1.7605416,0.5625
1,82,1.7566924,0.5625
1,83,1.3721215,0.84375
1,84,1.7856405,0.59375
1,85,1.9477502,0.5
1,86,1.8694367,0.53125
1,87,2.0163403,0.5625
1,88,1.7115927,0.5
1,89,1.5942036,0.71875
1,90,2.048943,0.59375
1,91,1.857199,0.5625
1,92,1.7814989,0.5625
1,93,1.5497533,0.625
1,94,1.8888595,0.65625
1,95,1.8409057,0.53125
1,96,1.5350388,0.65625
1,97,1.6586794,0.65625
1,98,1.6903232,0.625
1,99,1.7479031,0.53125
1,100,1.3428825,0.6875
1,101,1.7207047,0.65625
1,102,1.6547291,0.5
1,103,1.558475,0.6875
1,104,1.5398788,0.65625
1,105,1.8059517,0.5625
1,106,1.5532695,0.71875
1,107,1.6089474,0.65625
1,108,1.5265014,0.625
1,109,1.5916016,0.5625
1,110,1.549582,0.6875
1,111,1.7288202,0.59375
1,112,1.5515176,0.65625
1,113,1.5021192,0.6875
1,114,1.2681358,0.75
1,115,1.9027702,0.53125
1,116,1.4566367,0.6875
1,117,1.2769046,0.6875
1,118,1.3890829,0.6875
1,119,1.2974502,0.6875
1,120,1.8941332,0.4375
1,121,1.6168196,0.5
1,122,1.6399404,0.59375
1,123,1.3771017,0.625
1,124,1.7241877,0.5625
1,125,1.4194942,0.71875
1,126,1.3784109,0.6875
1,127,1.1911039,0.78125
1,128,1.472955,0.625
1,129,1.4057107,0.65625
1,130,1.4338844,0.65625
1,131,1.4829942,0.71875
1,132,1.2848065,0.8125
2,133,1.2342423,0.8125
2,134,1.518237,0.65625
2,135,1.4266317,0.71875
2,136,1.5496169,0.59375
2,137,1.3952762,0.71875
2,138,1.2042449,0.78125
2,139,1.2973361,0.75
2,140,1.4405998,0.78125
2,141,1.4314586,0.6875
2,142,1.3668132,0.625
2,143,1.3763864,0.5625
2,144,1.1671754,0.6875
2,145,1.3564985,0.71875
2,146,1.1025274,0.875
2,147,1.3026134,0.71875
2,148,1.4362969,0.75
2,149,1.2998599,0.71875
2,150,1.602117,0.5625
2,151,1.0902191,0.78125
2,152,1.4703404,0.65625
2,153,1.1753087,0.78125
2,154,1.3301101,0.71875
2,155,1.5008558,0.625
2,156,1.1284028,0.71875
2,157,1.3538265,0.65625
2,158,1.3008357,0.65625
2,159,1.3515147,0.6875
2,160,0.9311195,0.84375
2,161,0.7792017,0.90625
2,162,1.1336027,0.84375
2,163,1.232955,0.71875
2,164,1.3794314,0.6875
2,165,1.2662362,0.71875
2,166,1.2874203,0.59375
2,167,1.540075,0.59375
2,168,1.090458,0.71875
2,169,0.924474,0.84375
2,170,1.076025,0.8125
2,171,1.1386575,0.71875
2,172,1.2797617,0.59375
2,173,1.0739454,0.75
2,174,1.1988571,0.71875
2,175,1.4175566,0.65625
2,176,1.2151744,0.75
2,177,1.5128465,0.5625
2,178,1.1166774,0.6875
2,179,1.2321169,0.65625
2,180,1.016802,0.8125
2,181,1.000683,0.71875
2,182,1.397563,0.71875
2,183,1.2146361,0.65625
2,184,1.0411438,0.6875
2,185,0.93036187,0.75
2,186,0.97656095,0.84375
2,187,1.4161849,0.59375
2,188,1.2029244,0.59375
2,189,1.2461797,0.6875
2,190,1.1548015,0.78125
2,191,0.98597324,0.75
2,192,1.1701645,0.78125
2,193,1.295622,0.6875
2,194,1.0336851,0.78125
2,195,0.93304217,0.75
2,196,1.0353813,0.78125
2,197,1.0169785,0.78125
