图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,圣女果-预测置信度,山竹-预测置信度,杨梅-预测置信度,柚子-预测置信度,柠檬-预测置信度,桂圆-预测置信度,梨-预测置信度,椰子-预测置信度,榴莲-预测置信度,火龙果-预测置信度,猕猴桃-预测置信度,石榴-预测置信度,砂糖橘-预测置信度,胡萝卜-预测置信度,脐橙-预测置信度,芒果-预测置信度,苦瓜-预测置信度,苹果-红-预测置信度,苹果-青-预测置信度,草莓-预测置信度,荔枝-预测置信度,菠萝-预测置信度,葡萄-白-预测置信度,葡萄-红-预测置信度,西瓜-预测置信度,西红柿-预测置信度,车厘子-预测置信度,香蕉-预测置信度,黄瓜-预测置信度
../../dataset/fruit30_split\val\圣女果\105.jpg,0,圣女果,0,圣女果,23,葡萄-红,25,西红柿,True,0.63490427,0.0003631845,0.0018189332,0.0013053649,0.00031323408,0.00026469395,0.000115413626,0.0013750863,1.4862407e-05,2.3220296e-05,9.044192e-05,0.016013702,0.0018755012,0.00033316494,0.00012985885,0.00079221505,0.0003483045,0.0006853553,0.00011113137,0.00050323585,0.0018880048,0.00011271813,0.013286422,0.1568503,0.0011469794,0.15418512,0.010853109,8.6644744e-05,0.00020959204
../../dataset/fruit30_split\val\圣女果\110.jpg,0,圣女果,0,圣女果,25,西红柿,26,车厘子,True,0.9739482,1.6213181e-06,1.0847859e-05,7.870316e-06,3.2594328e-06,1.9791426e-07,5.2322466e-06,2.0503123e-06,7.545682e-08,5.1451406e-07,5.80952e-06,1.6618264e-05,7.147519e-05,3.1265634e-05,1.4771262e-05,0.00019089483,1.7359902e-06,1.6590386e-06,6.226052e-06,1.1767157e-05,3.5311e-06,2.7554393e-06,1.71991e-06,4.494255e-05,1.3555002e-05,0.025118176,0.00047918604,1.4557503e-07,3.7994973e-06
../../dataset/fruit30_split\val\圣女果\112.jpg,0,圣女果,0,圣女果,26,车厘子,23,葡萄-红,True,0.56006515,0.0005553098,0.0062960116,6.197694e-05,3.7684867e-06,2.9374249e-05,3.7289612e-06,5.2639894e-05,0.00022189548,0.00013860925,3.3439155e-05,0.06418489,0.00040117514,3.306988e-05,1.2250042e-05,5.0876755e-05,2.870195e-05,0.0006448797,1.1255538e-05,0.0011547571,0.0015830066,5.809383e-05,8.9840294e-05,0.07097679,1.9206336e-05,0.019394053,0.2738789,1.1480698e-05,4.7535164e-06
../../dataset/fruit30_split\val\圣女果\116.jpg,0,圣女果,0,圣女果,25,西红柿,11,石榴,True,0.98295766,9.901413e-06,1.2357217e-06,4.3976743e-06,1.1256231e-05,1.7950828e-06,4.002889e-07,6.527617e-06,5.98668e-08,9.029537e-06,1.2479794e-06,0.0020541705,0.00045046015,2.7068558e-05,9.0603835e-06,1.7649114e-06,3.0044397e-05,1.8998733e-06,4.6866847e-07,1.1917738e-05,5.63938e-06,1.6123953e-06,0.00023938765,0.0019183073,2.3908394e-06,0.0116304625,0.0006037733,6.3807115e-06,1.5913718e-06
../../dataset/fruit30_split\val\圣女果\125.jpg,0,圣女果,0,圣女果,25,西红柿,3,柚子,True,0.6965303,0.0014473654,0.00058742,0.05595452,0.022306181,0.0012815398,0.005163409,0.0036075788,0.00029148717,0.0010816071,0.0049256273,0.0023980844,0.0046189292,0.00014708382,0.0025100054,0.022493044,0.0005753221,0.0021198913,0.011659159,0.024028748,0.006964751,0.00031821866,0.00017106697,0.0029187954,0.0013294653,0.08563978,0.038110785,0.00019689368,0.00062298425
../../dataset/fruit30_split\val\圣女果\128.png,0,圣女果,0,圣女果,26,车厘子,11,石榴,True,0.6283817,1.3251425e-05,0.0002495809,2.1990543e-06,1.4600183e-06,1.3712647e-06,4.1299782e-07,8.118376e-06,7.528644e-07,1.5361253e-05,1.1060534e-06,0.008278473,0.00027077273,2.6863466e-07,1.0688979e-06,4.3629916e-07,5.406733e-07,7.935564e-06,5.651151e-07,7.3793844e-06,1.2858539e-05,8.133775e-06,8.64638e-07,0.0076159122,9.056577e-07,0.0040755244,0.35104105,2.143517e-06,2.4247036e-08
../../dataset/fruit30_split\val\圣女果\13.jpeg,0,圣女果,0,圣女果,25,西红柿,26,车厘子,True,0.9334533,2.9287335e-06,3.188346e-06,2.3361581e-05,5.754588e-06,2.9686301e-08,1.4332808e-05,1.7854421e-05,1.7935174e-07,1.4992518e-05,4.6335163e-06,0.00046442222,0.000101513804,9.5009716e-07,6.3939897e-06,1.2082322e-05,1.304367e-06,1.442782e-05,1.2659122e-05,0.00010173224,4.2307056e-06,5.8782445e-07,2.957913e-07,6.8166887e-06,9.798037e-06,0.059664283,0.0060550477,1.8807226e-06,8.647549e-07
../../dataset/fruit30_split\val\圣女果\134.jpeg,0,圣女果,0,圣女果,25,西红柿,26,车厘子,True,0.7577995,0.00011040795,0.00020519638,0.000107736036,3.2537017e-05,1.2270883e-05,0.000105923216,4.0269995e-05,1.5561747e-06,7.2580724e-06,7.375279e-05,0.0013840635,1.7120445e-05,0.00046618262,3.6984675e-05,0.00028953227,2.9394955e-06,0.00031126672,0.0005108726,0.0004925098,0.00022277933,4.989128e-06,1.8804387e-05,0.0038110802,6.469771e-05,0.19940795,0.034380037,6.817896e-05,1.3590457e-05
../../dataset/fruit30_split\val\圣女果\135.jpeg,0,圣女果,0,圣女果,25,西红柿,26,车厘子,True,0.7066513,2.4458783e-05,5.8303394e-06,2.2631983e-05,5.536736e-06,8.052231e-06,2.2535753e-05,3.3494827e-05,1.0537996e-07,1.6711022e-06,4.0954405e-06,0.003763243,0.00045041,6.9024045e-06,5.5089604e-05,1.7382656e-05,6.2251877e-07,0.00017675439,0.0001415206,8.542896e-06,0.00012332057,8.040667e-06,8.157512e-08,0.00013440764,3.4345999e-06,0.28402117,0.0043043704,4.8242646e-06,1.0983603e-07
../../dataset/fruit30_split\val\圣女果\137.png,0,圣女果,0,圣女果,25,西红柿,11,石榴,True,0.75639796,3.005422e-05,0.014412571,0.00039699711,2.1528986e-05,2.6691087e-05,1.2131879e-05,6.3089597e-06,1.3139166e-06,9.962828e-06,0.00011251308,0.03627174,0.00294883,0.0014440954,0.00080556347,0.00057052285,0.00033653417,0.0013288769,1.0222791e-05,0.008260511,0.0013956837,5.5809145e-05,1.3960098e-05,0.0011501672,0.00057087303,0.1713395,0.002066014,5.374606e-07,2.461243e-06
